Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
16 Aktivis yang Ditahan di Polda Metro Jaya Mogok Makan,"JAKARTA, KOMPAS.com - Sebanyak 16 aktivis yang ditahan di Polda Metro Jaya terkait demo ricuh Agustus 2025 melakukan aksi mogok makan mulai Selasa (16/9/2025).“Total 16 orang juga ikut mogok makan sebagai bentuk aksi dari penangkapan ini,” kata Sizigia Pikhansa, kakak dari admin Instagram Gejayan Memanggil, Syahdan Husein, di Polda Metro Jaya, Rabu (17/9/2025).Baca juga: Keluarga Aktivis yang Ditahan di Polda Metro Ngaku Dipersulit Polisi Saat Hendak BesukSizigia menyampaikan, Syahdan sendiri sejak 11 September 2025 sudah mulai mogok makan di dalam rumah tahanan (rutan) Polda Metro Jaya.“Ini sebagai bentuk protesnya dia atas penangkapan-penangkapan seluruh aktivis. Dia mengatakan akan mogok makan sampai seluruh tahanan politik dibebaskan,” tegas dia.“Ini mereka membuat surat (menunjukkan surat) untuk DPR dan Pak Presiden Prabowo. Total 16 orang juga ikut mogok makan sebagai bentuk aksi dari penangkapan ini,” tambah dia.Dalam kesempatan ini, Sizigia meyakini bahwa adiknya bukan penghasut atau provokator yang menimbulkan kericuhan saat demo akhir Agustus 2025.“Karena memang, dengan situasi dan kondisi Indonesia saat ini, siapa yang butuh provokator untuk marah? Semua juga bisa merasakan amarahnya,” ucap dia.Baca juga: Polda Metro: Kami Tangkap Perusuh, Bukan Pedemo Oleh karena itu, Syahdan disebut hanya menyuarakan melalui media sosial Instagram atas keresahan warga terhadap pemerintah Indonesia.Sebelumnya, empat aktivis yang ditangkap adalah Delpedro Marhaen (Direktur Lokataru Foundation), Muzaffar Salim (staf Lokataru), Syahdan Husein (admin Gejayan Memanggil), dan Khariq Anhar (admin Aliansi Mahasiswa Penggugat).Polda Metro Jaya menuduh mereka terlibat dalam dugaan penghasutan aksi anarkis pada unjuk rasa di depan Gedung DPR/MPR pada 25 Agustus lalu.Polisi menyebut keempatnya menggunakan media sosial untuk menyebarkan ajakan demonstrasi yang dianggap berpotensi menimbulkan kerusuhan.",17/09/2025,NEWS
Erick Thohir Fokus Bangun Kejayaan Olahraga Usai Resmi Jadi Menpora,"KOMPAS.com - Erick Thohir resmi dilantik Presiden Prabowo Subianto sebagai Menteri Pemuda dan Olahraga (Menpora) di Istana Negara, Jakarta, Rabu (17/9/2025).Pengangkatan Erick dilakukan setelah kursi Menpora sempat kosong usai Dito Ariotedjo diberhentikan pada 8 September 2025.Pelantikan ini mengacu pada Keputusan Presiden (Keppres) Nomor 96P Tahun 2025 tentang Pemberhentian dan Pengangkatan Menteri dan Wakil Menteri Negara Kabinet Merah Putih periode 2024-2029, yang dibacakan oleh Deputi Bidang Administrasi Aparatur Kementerian Sekretariat Negara, Nanik Purwanti.Usai pelantikan, Erick Thohir menegaskan kesiapannya membangkitkan kejayaan olahraga Indonesia sekaligus memperkuat sektor kepemudaan.Baca juga: Daftar Menpora dari Masa ke Masa Usai Erick Thohir Dilantik""Jadi nomor satu, yang pasti saya mendapat penugasan dari Bapak Presiden Prabowo Subianto, tentu saya sebagai profesional dan tentu sebagai pembantu Presiden saya tegak lurus,” ujar Erick di Istana Negara.Ia mengingatkan bahwa ruang lingkup Kemenpora tidak hanya soal olahraga, tetapi juga mencakup pembangunan generasi muda yang jumlahnya mencapai lebih dari 131 juta jiwa.“Kadang-kadang orang lupa antara olahraga dan pemuda, berarti Menteri pemuda dan olahraga. Artinya, kalau kita bicara pemuda itu ada 131 juta pemuda yang ke depan ini merupakan basis dari bangsa kita sendiri,"" ucap Erick.Menurut Erick, penguatan kapabilitas pemuda menjadi prioritas agar mereka mampu bersaing secara global, menumbuhkan rasa cinta tanah air, serta ikut berperan dalam pembangunan nasional.""Artinya pemuda ini ke depan harus kita bangun secara kapabilitas untuk bisa bersaing secara global, cinta tanah air, dan harus menjadi bagian untuk membangun bangsa kita ke depan, itu yang pemuda,"" ungkap Erick.Baca juga: Erick Thohir Dilantik Jadi Menpora oleh Presiden Prabowo SubiantoKOMPAS.com/YOHANA ARTHA ULY Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir saat ditemui di Gedung DPR RI, Jakarta, Senin (15/9/2025).Selain itu, Erick Thohir menilai olahraga harus kembali menjadi pemersatu bangsa sekaligus membawa nama baik Indonesia di kancah internasional.""Untuk olahraga sendiri, tentu nomor satu, olahraga harus menjadi alat pemersatu bangsa. Olahraga adalah duta bangsa di dunia. Artinya kita harus menaikkan muruah, martabat, dan kedigdayaan kita sebagai bangsa,"" sambung Erick.Ia juga menambahkan bahwa pengembangan olahraga bisa berkontribusi pada ekonomi nasional dengan menciptakan lebih banyak kompetisi di daerah maupun pusat.""Olahraga ke depan harus kita dorong lebih banyak kompetisi di daerah dan pusat sebagai pertumbuhan ekonomi dan pembukaan lapangan pekerjaan,"" lanjut Erick.Baca juga: Erick Thohir Dikabarkan Jadi Kandidat Menpora, Bagaimana PSSI?Terkait agenda Kemenpora ke depan, Erick menyampaikan pihaknya akan terlebih dahulu melakukan evaluasi pasca prosesi serah terima jabatan (sertijab).""Besok sertijab nanti baru kita review seperti apa yang kita harus lakukan untuk jangka pendek, menengah, dan panjang,"" kata Erick.",17/09/2025,BOLA
BMKG: Waspada Banjir Rob di Pesisir Utara Jateng Kamis 18 September,"SEMARANG, KOMPAS.com - Stasiun Meteorologi Maritim Tanjung Emas Semarang, Jawa Tengah (Jateng) memberikan peringatan banjir pesisir pada Kamis, 18 September 2025.Adapun beberapa daerah yang berpotensi terjadi banjir rob, yakni; Pekalongan, Batang, Kendal, Semarang, Demak dan Jepara.Baca juga: Bupati Demak Janjikan Diskon Pajak Wilayah Terdampak Banjir Rob Prakirawan Cuaca Stasiun Meteorologi Maritim Tanjung Emas Semarang, Retna Swasti Karini , mengatakan bahwa banjir pesisir berpotensi terjadi pukul 03.00 WIB - 07.00 WIB.""Akibat adanya aktivitas pasang surut air laut dapat memengaruhi dinamika wilayah Pantai Utara Jateng berupa banjir pesisir,"" kata Retna, Kamis (4/9/2025).Untuk itu, Retna mengimbau masyarakat di pesisir pantai untuk mewaspadai adanya fenomena banjir pesisir atau rob.""Berlaku di Pesisir Utara Jateng,"" katanya.Banjir pesisir tersebut akan berdampak pada terganggunya transportasi di sekitar pelabuhan dan aktivitas pesisir. Selain itu, aktivitas petani garam dan perikanan darat juga akan terganggu.""Termasuk aktivitas bongkar muat di pelabuhan,"" paparnya.Retna mengingatkan, bagi masyarakat yang ada di pesisir Pantai Utara Jawa Tengah agar meningkatkan kewaspadaannya untuk antisipasi banjir pesisir.""Perhatikan update informasi cuaca maritim dari Badan Meteorologi Klimatologi dan Geofisika (BMKG),"" imbuhnya.Baca juga: Banjir Rob Pantura Semarang Demak Diprediksi Terjadi Jumat Pagi 5 SeptemberUntuk menghindari banjir rob dan potensi kemacetan, kendaraan pribadi disarankan untuk menggunakan jalur alternatif yang telah disiapkan.""Untuk kendaraan pribadi bisa melintas di jalur alternatif dengan rute Halte Buyaran-Guntur-Karangawen-Mranggen-Semarang,"" kata Kapolres Demak, AKBP Ari Cahya Nugaraha.Selain itu, jalur alternatif lain dari Semarang ke Demak juga dapat dilalui melalui Onggorawe, Kecamatan Sayung.""Atau bisa juga jembatan Onggorawe-Bulusari-Sayung-Mranggen-Semarang,"" tambah Ari.",17/09/2025,REGIONAL
"VW ID. Buzz, Transformasi Kombi ke Era Baru","JAKARTA, KOMPAS.com – Volkswagen ID. Buzz menjadi salah satu mobil yang menyita perhatian saat hadir pertama kali di Indonesia lewat ajang Gaikindo Indonesia International Auto Show (GIIAS) 2024.Kehadirannya seakan menghadirkan kembali nostalgia VW Kombi, namun dengan wajah yang sepenuhnya modern.Baca juga: Jangan Abai dengan Kesehatan Aki MobilBerbeda dengan upaya VW menghidupkan kembali Beetle yang lebih condong pada sisi gaya retro, ID. Buzz berhasil mengeksekusi transformasi dari mobil klasik menjadi mobil listrik masa kini tanpa kehilangan jati diri.Foto: KOMPAS.com/Adityo Wisnu VW ID. BuzzBegitu mendapat kesempatan untuk mencobanya selama beberapa hari, Kompas.com langsung antusias menjajalnya.Secara eksterior, ID. Buzz mempertahankan bahasa desain boxy khas Kombi. Proporsi bodinya sederhana, dengan garis tegas dan permukaan halus, seolah menjadi kanvas bersih untuk menampilkan identitas modern.Baca juga: Update Kasus Petisi Wuling Binguo EV: Belum Dapat SolusiMoncong depan yang pendek dan overhang minim memberi siluet yang mirip Kombi generasi pertama (T1), seolah-olah menjadi jembatan langsung ke era 1950-an.Foto: KOMPAS.com/Adityo Wisnu VW ID. BuzzLogo VW berukuran besar ditempatkan tepat di tengah hidung mobil, seperti senyuman ikonik Kombi dulu.Sementara lampu depan dengan teknologi LED Matrix tampil ramping, tapi tetap menampilkan karakter “wajah ramah” yang mengundang nostalgia.Jika diperhatikan lebih dekat, ID. Buzz menyatukan detail retro dengan sentuhan futuristis.Baca juga: Simak Cara Aman Pasang Aki secara Mandiri di Rumah Desain pelek berukuran 19–21 inci, misalnya, dibuat aerodinamis agar mendukung efisiensi baterai. Garis bodi bersih tanpa ornamen berlebih juga menegaskan pergeseran ke era mobil listrik.Foto: KOMPAS.com/Adityo Wisnu VW ID. BuzzSimbol TransformasiKehadiran ID. Buzz bukan sekadar nostalgia yang dibungkus ulang, melainkan simbol transformasi Volkswagen dari masa lalu ke masa depan.Mobil ini berhasil menjembatani ingatan kolektif tentang Kombi ikon kebebasan dan gaya hidup pada zamannya ke dalam era baru kendaraan listrik.ID. Buzz diharapkan tidak hanya menjadi kendaraan, tetapi tentang bagaimana desain klasik bisa beradaptasi dengan kebutuhan modern tanpa kehilangan identitas.",17/09/2025,OTOMOTIF
IHSG Cetak Rekor Tertinggi Sepanjang Sejarah pada 8.025 di Tengah Reshuffle,"JAKARTA, KOMPAS.com - Indeks Harga Saham Gabungan (IHSG) berakhir di zona hijau pada perdagangan  Rabu (17/9/2025). IHSG hari ini ditutup menguat 67,48 poin (0,85 persen) ke level 8.025,17.Posisi ini merupakan all time high (ATH) alias rekor penutupan tertinggi sepanjang sejarah BEI.IHSG hari ini dibuka menguat. Namun  pada pertengahan sesi pertama, IHSG justru sempat merosot dan diperdagangkan di bawah pembukaannya.Pada sesi kedua, IHSG melaju di teritori positif bahkan menembus level 8.000-an, seiring dengan pelantikan menteri dan wakil menteri baru oleh Presiden Prabowo Subianto.Baca juga: IHSG Sentuh Level 8.000 Saat Presiden Reshuffle Menteri, Analis: Fundamental Lebih DominanPresiden Prabowo Subianto melakukan reshuffle atau perombakan Kabinet Merah Putih di Istana Kepresidenan, Jakarta, Rabu (17/9/2025).Dalam reshuffle ini, Prabowo memberhentikan serta melantik sejumlah menteri, wakil menteri, hingga pejabat lembaga pemerintahan.Pelantikan ini tertuang dalam Keputusan Presiden (Keppres) Nomor 96/P Tahun 2025 tentang Pemberhentian dan Pengangkatan Menteri dan Wakil Menteri Negara Tahun 2024-2029, yang dibacakan oleh Deputi Bidang Administrasi Aparatur Kementerian Sekretariat Negara, Nunik Purwanti.Data perdagangan pada penutupan sore ini menunjukkan, sebanyak 360 saham melaju di zona hijau dan 318 saham berada di zona merah. Sementara itu, sebanyak 124 saham lainnya stagnan.Jumlah transaksi sore ini mencapai Rp 18,16 triliun dengan volume 44,11 miliar saham.Saham-saham yang menjadi top gainers dan menjadi penopang indeks adalah Bank Rakyat Indonesia (BBRI) yang naik 2,18 persen ke level 4.220. Kemudian, Barito Pacific (BRPT) naik 6,90 persen ke level 2.480. Lalu, emiten Bank Jago (ARTO) naik 5,56 persen ke level 2.280.Sedangkan, saham-saham yang menjadi top losers dan mengambat laju IHSG adalah saham Aneka Tambang (ANTM) yang turun 3,89 persen ke level 3.460. Kemudian, Merdeka Copper Gold (MDKA) turun 1,97 persen ke level 2.490. Lalu, emiten Vale Indonesia (INCO) turun 1,23 persen ke level 4.020.SHUTTERSTOCK/SHUTTER_O Ilustrasi saham, pergerakan saham. Sementara itu,  pasar saham kawasan ditutup bervariasi, Shanghai Composite naik 0,37 persen (14,46 poin) ke level 3.876,34. Kemudian Hang Seng melonjak 1,78 persen (469,88 poin) di level 26.908,39.Sementara, indeks Strait Times turun 0,36 persen (15,53 poin) di level 4.322,20 dan Nikkei 225 turun 0,25 persen (111,90 poin) di level 44.790,39.RupiahMengutip data Bloomberg, nilai tukar rupiah terhadap dollar AS di pasar spot sore ini ditutup menguat tipis, di tengah kebijakan Bank Indonesia yang kembali memangkas suku bunga acuan menjadi 4,75 persen.Mata uang garuda ditutup pada level Rp 16.437 per dollar AS atau menguat 0,02 persen (3,00 poin) dibandingkan dengan penutupan sebelumnya di level Rp 16.440.Sementara itu, mengacu pada kurs tengah Jisdor, nilai tukar rupiah pada Rabu (17/9/2025) berada di level Rp 16.430 per dollar AS, atau melemah dibandingkan Selasa (16/9/2025) yang berada di level Rp 16.385 per dollar AS.Baca juga: Bank Indonesia Turunkan Suku Bunga Acuan untuk Kelima Kalinya, BI Rate Kini 4,75 Persen",17/09/2025,MONEY
"Yusril: Bima Permana Putra Ditemukan di Malang, Tidak Hilang Paksa seperti Kata Kontras","JAKARTA, KOMPAS.com - Menko Bidang Hukum, HAM, Imigrasi, dan Pemasyarakatan Yusril Ihza Mahendra mengatakan, salah satu warga yang disebut hilang oleh Komisi untuk Orang Hilang dan Korban Tindak Kekerasan (KontraS), Bima Permana Putra, sudah ditemukan. Mulanya Bima disebut hilang di Glodok usai kericuhan pada Agustus 2025. ""Sekarang sudah ditemukan ada di klenteng atau wihara di Kota Malang, Jawa Timur. Jadi tidak dihilangkan paksa seperti yang dibilang KontraS,"" ujar Yusril di Istana Negara, Jakarta, Rabu (17/9/2025). Baca juga: KontraS Update Orang Hilang Usai Demo Agustus 2025: 4 Belum Ditemukan Yusril belum tahu bagaimana Bima bisa berada di Malang setelah hilang di Glodok. Saat ini, kata Yusril, polisi masih mencari dua orang lain yang disebut hilang.""Satu sudah ketemu, dua lagi masih belum ketemu,"" kata dia. Yusril juga menyampaikan kabar mahasiswa Universitas Riau Khariq Anhar yang ditangkap polisi. Dia menjamin Khariq diperlakukan dengan baik selama di tahanan. ""Saya sudah cek dia masih ada di tahanan, enggak diapa-apain, diperlakukan dengan baik, dan sudah jalani proses pemeriksaan,"" ujar Yusril. Baca juga: Kata Polda Metro Jaya soal KontraS yang Rilis Data 3 Orang Hilang Usai Demo AgustusSebelumnya, KontraS melaporkan masih ada tiga orang yang dinyatakan hilang usai demonstrasi, per Jumat (12/9/2025).Dalam unggahan Instagram resmi KontraS, ketiganya adalah: ",17/09/2025,NEWS
"Sosok Rohmat Marzuki, Ketua Fraksi Gerindra DPRD Jateng yang Dilantik Jadi Wamenhut","JAKARTA, KOMPAS.com - Presiden Prabowo melantik Rohmat Marzuki menjadi Wakil Menteri Kehutanan (Wamenhut) menggantikan Sulaiman Umar di Istana Negara, Jakarta, Rabu (17/9/2025).Rohmat Marzuki dilantik berdasarkan Keputusan Presiden (Keppres) Nomor 96/P Tahun 2025 tentang Pemberhentian dan Pengangkatan Menteri dan Wakil Menteri Negara Kabinet Merah Putih Periode Tahun 2024-2029.Sebelumnya, Sulaiman Umar dicopot dari posisi Wamenhut oleh Presiden Prabowo.Pria kelahiran 11 Oktober 1980 ini diketahui menjabat sebagai anggota DPRD Jawa Tengah Periode 2024-2029.Dikutip dari laman resmi DPRD Jawa Tengah, Rohmat Marzuki tercatat sebagai anggota Komisi B yang membidangi perekonomian dan keuangan.Baca juga: Bendahara Gerindra Jateng Rohmat Marzuki Jadi Wamenhut, Geser Posisi Sulaiman UmarRohmat terpilih menjadi anggota DPRD Jawa Tengah setelah mendapatkan 59.451 suara di daerah pemilihan (dapil) Jawa Tengah 5 yang meliputi Grobogan dan Blora.Kemudian, dilansir dari akun Instagram miliknya @ masrohmatmarzuki, Rohmat merupakan Ketua Fraksi Gerindra DPRD Jawa Tengah.Di internal Partai Gerindra, Rohmat Marzuki menjabat sebagai Bendahara Dewan Pimpinan Daerah (DPD) Jawa Tengah dan Kabid Dewan Pimpinan Pusat (DPP) Gerindra.Ditunjuk menjadi Wamenhut, Rohmat Marzuki diketahui memiliki latar belakang pendidikan bidang kehutanan. Dia mendapat gelar Sarjana dari Fakultas Kehutanan Universitas Gajah Mada (UGM).Baca juga: Prabowo 2 Kali Reshuffle Kabinet Sepanjang September 2025Dengan masuknya Rohmat Marzuki di Kabinet Merah Putih, maka jumlah kader Gerindra di pemerintahan bertambah.Berikut daftar menteri dari Partai GerindraWakil menteri dan kepala badan:Baca juga: Jejak Reshuffle Prabowo: Sudah 3 Kali Dalam 11 Bulan Memerintah",17/09/2025,NEWS
"Potensi Panas Bumi RI Capai 23.742 MW, tapi Baru Terkelola 10 Persen","JAKARTA, KOMPAS.com - Kementerian Energi dan Sumber Daya Mineral (ESDM) mencatat potensi panas bumi di Indonesia mencapai 23.742 megawatt (MW). Menteri ESDM, Bahlil Lahadalia, menyebutkan RI menempati posisi kedua sebagai produsen listrik panas bumi secara global.Dengan kapasitas terpasang listrik dari sumber panas bumi sebesar 2.744 MS, Indonesia berada di bawah Amerika Serikat yang memiliki 3.937 MW listrik dari pembangkit listrik tenaga panas bumi (PLTP). ""Panas bumi adalah salah satu sumber energi baru terbarukan, dan Indonesia mempunyai cadangan yang cukup besar, terbesar di dunia. Dan dari sini, baru kurang lebih sekitar 10 persen yang bisa kita kelola, artinya masih ada 90 persen potensi ini,"" kata Bahlil dalam The 11th Indonesia International Geothermal Convention & Exhibition (IIGCE) 2025 di Jakarta Pusat, Rabu (17/9/2025).Dia meminta jajarannya segera melakukan lelang wilayah kerja panas bumi (WKP). Hal ini sesuai dengan arahan presiden untuk reformasi dan percepatan regulasi, demi memberikan kepastian dan percepatan bagi pelaku usaha.Baca juga: Pengamat UGM: Panas Bumi Memang Punya Risiko, Tapi Lebih Rendah dari Energi FosilPelelangan akan dilakukan Kementerian ESDM melalui platform digital pengelolaan panas bumi bernama Genesis. Di samping itu, memudahkan tahapan perizinan dan regulasi investasi proyek PLTP. ""Program kami waktu satu tahun kemarin adalah memangkas berbagai tahapan regulasi yang menghambat proses percepatan dalam bidang panas bumi. Kami memangkas semuanya,"" tutur dia.Melalui Rencana Usaha Penyediaan Tenaga Listrik (RUPTL) 2025-2034, pemerintah akan membangun 48.000 kilometer sirkuit (km), sebagai komitmen mendorong pembangunan energi baru dan terbarukan. Pasalnya, jaringan transmisi yang menghubungkan sumber energi dan jaringan listrik masih belum memadai.Sementara itu, Direktur Jenderal Energi Baru, Terbarukan, dan Konservasi Energi Kementerian ESDM, Eniya Listiani Dewi, mengungkapkan pembangkit listrik tenaga panas bumi (PLTP) menyerap 1.533 tenaga kerja.Baca juga: PGEO Manfaatkan Panas Bumi untuk Kembangkan Ekonomi Sirkuler di KamojangPemerintah menargetkan 1,7 juta lapangan pekerjaan di sektor energi terbarukan, dengan 760.000 di antaranya masuk kategori green jobs atau pekerjaan hijau.""Sedikit-sedikit kami realisasikan green jobs tersebut dengan adanya investasi di panas bumi ini. Kami saat ini banyak berkomunikasi ke daerah karena daerah-daerah penghasil panas bumi menjadi satu potensi,"" ungkap Eniya.",17/09/2025,LESTARI
BNPB: Korban Jiwa akibat Banjir di Bali Capai 18 Orang,"JAKARTA, KOMPAS.com - Kepala Pusat Data, Informasi, dan Komunikasi Kebencanaan BNPB Abdul Muhari mengatakan, total korban jiwa akibat banjir di Bali telah mencapai 18 orang.""Hingga sejauh ini, total korban jiwa pada banjir di Bali ini tercatat berjumlah 18 orang meninggal dunia dan 6.309 KK terdampak,"" ujar Muhari, dalam keterangan pers, Rabu (17/9/2025).Selain itu, kerugian material yang diakibatkan oleh banjir ini mencakup 520 unit fasilitas umum rusak, 3 jembatan putus, 23 titik jalan rusak, 82 tembok atau penyengker jebol, dan 194 unit rumah rusak.Baca juga: Soroti Banjir di Bali, Jusuf Kalla: Vila Dibangun di Atas Sungai""Kota Denpasar mengalami kerusakan sebanyak 474 fasilitas umum rusak, sementara Kabupaten Jembrana paling terdampak pada rumah warga dan infrastruktur jalan,"" tutur dia.Sementara di Kabupaten Karangasem, satu jembatan dilaporkan putus, 47 rumah rusak, serta 14 bendungan terdampak.BNPB mengimbau kepada masyarakat maupun pemerintah daerah untuk meningkatkan kewaspadaan terhadap potensi banjir beberapa hari ke depan.Hal ini menyusul peringatan dini yang dikeluarkan oleh BMKG terkait adanya potensi hujan sedang hingga ekstrem yang diperkirakan terjadi pada tanggal 17 hingga 18 September 2025, di sejumlah wilayah Indonesia.""Pemerintah daerah diharapkan dapat menyiapkan langkah antisipatif dan penguatan koordinasi lintas sektor mulai dari BPBD, aparat desa, hingga lingkungan rukun warga dan rukun tetangga,"" ucap dia.Baca juga: Soroti Banjir di Bali, Jusuf Kalla: Vila Dibangun di Atas SungaiSelain itu, pemetaan wilayah seperti rawan banjir, longsor, genangan air, maupun angin kencang perlu diperbaharui secara berkala.Masyarakat diminta waspada ketika melakukan aktivitas luar ruang dan lokasi bangunan tinggi seperti pohon maupun baliho yang dapat terganggu akibat adanya angin kencang.",17/09/2025,NEWS
"Ini 14 Nama yang Dianugerahi Jenderal TNI Kehormatan (HOR), Terbaru Djamari Chaniago","JAKARTA, KOMPAS.com - Presiden Prabowo Subianto memberikan kenaikan pangkat Jenderal Kehormatan (HOR) kepada Letjen TNI (Purn) Djamari Chaniago di Istana Negara, Kompleks Istana Kepresidenan, pada Rabu (17/9/2025).Hal ini dikonfirmasi oleh Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi usai pelantikan Menteri, Wakil Menteri, hingga Kepala dan Wakil Kepala Badan di Istana Negara, Rabu (17/9/2025).""Pada hari ini Bapak Presiden memberikan kenaikan pangkat istimewa Jenderal Kehormatan penuh kepada Bapak Jenderal Djamari Chaniago dan kepada Jenderal Polisi Ahmad Dofiri,"" kata Prasetyo, Rabu.Baca juga: Ini Daftar 11 Menteri, Wamen, dan Pimpinan Badan yang Dilantik PrabowoIa menjelaskan, kenaikan pangkat itu diberikan karena Presiden Prabowo memiliki pertimbangan khusus.Menurut penilaian Kepala Negara, Djamari merupakan salah satu putra terbaik bangsa yang mengabdi selama puluhan tahun.Terlebih, Prabowo sangat mengenal baik Djamari yang pernah menjadi atasannya saat berdinas di militer.""Banyak penilaiannya dan kemudian Bapak Presiden merasa kemudian mengambil keputusan untuk memberikan penghormatan, baik kepada individu maupun tentunya akan mewakili institusinya,"" ujar Prasetyo.Baca juga: Menko Polkam Djamari Mengaku Dapat Pesan dari Prabowo: Gunakan Sisa Umur untuk Kepentingan BangsaSebagai informasi, peraturan terkait pangkat jenderal kehormatan pernah diatur dalam Peraturan Pemerintah (PP) Nomor 36 Tahun 1959.PP 36/1959 mengatur bahwa pangkat kehormatan diberikan kepada warga negara Indonesia dari militer ataupun buka sebagai suatu penghargaan dari jasa-jasa atau bantuan-bantuan yang mereka sumbangkan.Namun, peraturan mengenai pangkat kehormatan dicabut oleh Peraturan Pemerintah (PP) Nomor 6 Tahun 1990.Kini, pemberian tanda kehormatan diatur lewat Undang-Undang Nomor 20 Tahun 2009 tentang Gelar, Tanda Jasa, dan Tanda Kehormatan.Baca juga: Usai Dilantik, Djamari Chaniago Bakal Langsung ke Kantor Kemenko PolkamDalam UU 20/2009 tidak terdapat frasa terkait jenderal kehormatan (HOR), melainkan hanya tanda kehormatan yang diberikan sebagai penghargaan negara yang diberikan Presiden kepada seseorang, kesatuan, institusi pemerintah, atau organisasi atas darmabakti dan kesetiaan yang luar biasa terhadap bangsa dan negara.Sebelum Djamari, ada 13 nama lain yang pernah mendapatkan kenaikan pangkat Jenderal Kehormatan (HOR). Berikut daftar 14 purnawirawan TNI yang dianugerahi Jenderal Kehormatan (HOR):",17/09/2025,NEWS
