node_index,node_id_asli,pagerank
0,0,0.0002766954696088412
1,1,6.826858096814149e-05
2,2,0.00019245833511421213
3,4,5.403776986110756e-05
4,5,4.9702291490395724e-05
5,6,2.070736306557564e-05
6,7,3.9661380343539716e-05
7,8,4.041406278733586e-05
8,9,2.070736306557564e-05
9,10,0.00021291679764751472
10,11,4.830883700029314e-05
11,12,2.070736306557564e-05
12,13,2.070736306557564e-05
13,15,2.070736306557564e-05
14,16,3.420182209869223e-05
15,17,5.629555642100247e-05
16,18,2.070736306557564e-05
17,19,3.0437224716911488e-05
18,20,2.3728099858644307e-05
19,21,5.448419096349708e-05
20,22,2.9040529048502428e-05
21,23,0.0001615666960684946
22,24,2.070736306557564e-05
23,25,2.070736306557564e-05
24,26,2.070736306557564e-05
25,27,0.00013613720734778303
26,28,6.471052637956413e-05
27,29,3.534862996379834e-05
28,30,5.93346872973558e-05
29,31,2.3002596362557218e-05
30,32,5.2551942951094816e-05
31,33,2.070736306557564e-05
32,34,3.152123942785253e-05
33,36,2.473574424853866e-05
34,37,2.572338471601572e-05
35,38,2.070736306557564e-05
36,40,4.6103052911761116e-05
37,41,2.4788796187333152e-05
38,42,9.421542991917405e-05
39,43,2.070736306557564e-05
40,44,4.8593086545780444e-05
41,47,2.070736306557564e-05
42,48,2.442813382060224e-05
43,51,2.070736306557564e-05
44,53,5.143907780914477e-05
45,54,0.00010239204880188562
46,56,6.5974790165423e-05
47,57,2.070736306557564e-05
48,58,2.9750246359824635e-05
49,59,4.1399037953250976e-05
50,60,2.070736306557564e-05
51,62,2.070736306557564e-05
52,63,2.070736306557564e-05
53,64,2.070736306557564e-05
54,65,3.2279373732578434e-05
55,67,2.070736306557564e-05
56,68,2.070736306557564e-05
57,69,2.070736306557564e-05
58,71,0.000752349422653927
59,73,4.894811892853325e-05
60,74,3.803757365040711e-05
61,76,3.8151841914159355e-05
62,77,4.4569311236437386e-05
63,78,0.00012079878221955933
64,79,2.070736306557564e-05
65,81,2.070736306557564e-05
66,82,0.00013804799633132373
67,83,2.070736306557564e-05
68,84,3.3869115306146125e-05
69,85,0.00016037607644097242
70,86,2.070736306557564e-05
71,87,4.7593129244095e-05
72,88,0.00010178817041032391
73,89,5.8689937588781495e-05
74,90,9.964554117149311e-05
75,91,0.00013804799633132368
76,93,4.000101398458897e-05
77,94,2.070736306557564e-05
78,95,0.0001198921852597425
79,96,0.00014641486408755692
80,97,2.070736306557564e-05
81,99,2.9671697096430013e-05
82,101,3.0228642490837404e-05
83,102,0.00013804799633132373
84,103,3.7924569169794654e-05
85,105,6.280656348331668e-05
86,106,0.0002729393939100679
87,107,0.00022189771492713212
88,108,0.00010630891378502574
89,109,2.070736306557564e-05
90,110,5.068324805467114e-05
91,111,2.070736306557564e-05
92,112,2.3569356565663413e-05
93,113,2.070736306557564e-05
94,114,7.780640009370633e-05
95,115,2.070736306557564e-05
96,116,2.070736306557564e-05
97,117,7.708057598395666e-05
98,119,2.070736306557564e-05
99,121,3.94596854243397e-05
100,122,5.853096609276328e-05
101,123,0.00010531186852371127
102,124,6.426273905053235e-05
103,125,5.258547318129842e-05
104,126,3.5255343493088994e-05
105,127,2.070736306557564e-05
106,128,7.353884470416401e-05
107,129,8.48514942976342e-05
108,130,3.1187595292319255e-05
109,132,0.00010162082798122295
110,133,2.4496724198241513e-05
111,134,2.070736306557564e-05
